title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
The House with a Clock in its Walls,6.1,Jack Black,Cate Blanchett,Owen Vaccaro,https://www.imdb.com/title/tt2119543/,tt2119543,Eli Roth
Hacksaw Ridge,8.1,Andrew Garfield,Sam Worthington,Luke Bracey,https://www.imdb.com/title/tt2119532/,tt2119532,Mel Gibson
The Mexican,6.1,Brad Pitt,Julia Roberts,James Gandolfini,https://www.imdb.com/title/tt0236493/,tt0236493,Gore Verbinski
The Final Destination,5.1,Nick Zano,Krista Allen,Andrew Fiscella,https://www.imdb.com/title/tt1144884/,tt1144884,David R. Ellis
17 Again,6.4,Zac Efron,Matthew Perry,Leslie Mann,https://www.imdb.com/title/tt0974661/,tt0974661,Burr Steers
Unknown,6.8,Liam Neeson,Diane Kruger,January Jones,https://www.imdb.com/title/tt1401152/,tt1401152,Jaume Collet-Serra
Get Him to the Greek,6.4,Jonah Hill,Russell Brand,Elisabeth Moss,https://www.imdb.com/title/tt1226229/,tt1226229,Nicholas Stoller
Gothika,5.8,Halle Berry,Penélope Cruz,Robert Downey Jr.,https://www.imdb.com/title/tt0348836/,tt0348836,Mathieu Kassovitz
Behind Enemy Lines,6.4,Gene Hackman,Owen Wilson,Gabriel Macht,https://www.imdb.com/title/tt0159273/,tt0159273,John Moore
The Lincoln Lawyer,7.3,Matthew McConaughey,Marisa Tomei,Ryan Phillippe,https://www.imdb.com/title/tt1189340/,tt1189340,Brad Furman
